cluster	loc.d	loc.o	span	span2	intro_date	intro_date2	rep_strain	area
cluster_368	Belgium	Netherlands	0.01999999999998181	0.01999999999998181	2020.85	2020.85	Numenius_arquata/Belgium/11956_003/2020	gE
cluster_369	United_Kingdom	Belgium	0.12999999999988177	0.12999999999988177	2020.88	2020.88	whistling_duck/England/035643/2020	gE
cluster_370	Senegal	Russian_Federation	0.2400000000000091	0.07999999999992724	2020.82	2020.98	chicken/Senegal/21VIR1084-3/2021	gA
cluster_371	Lesotho	Senegal	0.01999999999998181	0.01999999999998181	2021.41	2021.41	chicken/Lesotho/341.10/2021	gA
cluster_372	Nigeria	Russian_Federation	0.31999999999993634	0	2020.8	2021.12	chicken/Nigeria/VRD21-98_21VIR2288-6/2021	gA
cluster_373	Burkina_Faso	Nigeria	0.5699999999999363	0.029999999999972715	2021.39	2021.93	avian/Burkina_Faso/21VIR11911-1/2021	gA
cluster_374	Netherlands	Russian_Federation	0.5799999999999272	0.5799999999999272	2020.79	2020.79	greylag_goose/Netherlands/20019685-002/2020	gE
cluster_375	Germany	Netherlands	0.14999999999986358	0	2021.13	2021.28	barnacle_goose/Germany-NI/AI03980/2021	gE
cluster_376	Germany	Netherlands	0.01999999999998181	0.01999999999998181	2021.32	2021.32	turkey/Germany-NI/AI04425/2021	gE
cluster_377	Germany	Netherlands	0.709999999999809	0.2999999999999545	2021.13	2021.54	oystercatcher/Germany-NI/AI05047/2021	gE
cluster_378	United_Kingdom	Germany	0.35999999999989996	0.2799999999999727	2021.73	2021.81	mute_swan/England/053054/2021	gE
cluster_379	United_Kingdom	Germany	0.009999999999990905	0.009999999999990905	2021.82	2021.82	pheasant/Wales/385129/2021	gE
cluster_380	Sweden	Germany	0.029999999999972715	0.029999999999972715	2021.83	2021.83	common_buzzard_/Sweden/SVA211104SZ0320/FB004419/M-2021	gE
cluster_381	United_Kingdom	Netherlands	0.10999999999989996	0.01999999999998181	2021.46	2021.55	great_skua/Scotland/041672/2021	gE
cluster_382	United_States	Netherlands	0.7999999999999545	0.4900000000000091	2021.69	2022	harbor_seal/Maine/22-020455-005-original/2022	gAm
cluster_383	Canada	United_States	0.06999999999993634	0.009999999999990905	2021.9	2021.96	chicken/NL/FAV-0033/2021	gAm
cluster_384	Canada	United_States	0.05999999999994543	0.05999999999994543	2022.28	2022.28	Broiler_chicken/BC/FAV-0228-OS/2022	gAm
cluster_385	Slovakia	Russian_Federation	0	0	2021.08	2021.08	mute_swan/Slovakia/Pah15_21VIR1086-3/2021	gE
cluster_386	Slovakia	Russian_Federation	0.16999999999984539	0.01999999999998181	2020.89	2021.04	chicken/Slovakia/Pah10_21VIR1086-5/2021	gE
cluster_387	China	Russian_Federation	0.5	0.03999999999996362	2021.51	2021.97	Cygnus_columbianus/Hubei/127/2021	gCN
cluster_388	Bangladesh	China	0.3200000000001637	0.21000000000003638	2021.86	2021.97	duck/Bangladesh/19D1874/2022	gWA
cluster_389	Sweden	Russian_Federation	0.14000000000010004	0	2021.76	2021.9	white-tailed_eagle/Sweden/SVA211201SZ0380/FB004721/M-2021	gE
cluster_390	Japan	Russian_Federation	0.4600000000000364	0.38000000000010914	2021.92	2022	white-tailed_eagle/Hokkaido/22-RU-WTE-2/2022	gNA
cluster_391	Italy	Russian_Federation	0.22000000000002728	0.22000000000002728	2021.82	2021.82	hawk/Italy/22VIR428-7/2022	gE
cluster_392	Czech_Republic	Russian_Federation	0.049999999999954525	0	2021.78	2021.83	mute_swan/Czech_Republic/21312/2021	gE
cluster_393	Germany	Russian_Federation	0.10999999999989996	0	2021.97	2022.08	swan/Germany-BW/AI00996/2022	gE
cluster_394	Netherlands	Russian_Federation	0.44000000000005457	0.37000000000011823	2021.73	2021.8	swan/Netherlands/21037791-001/2021	gE
cluster_395	Italy	Russian_Federation	0.35999999999989996	0.2400000000000091	2021.7	2021.82	chicken/Italy/IZSLT-122448_21VIR9218-1/2021	gE
cluster_396	Slovenia	Italy	0.009999999999990905	0.009999999999990905	2021.98	2021.98	swan/Slovenia/2041_22VIR777-2/2021	gE
cluster_397	Romania	Italy	0.1799999999998363	0.16999999999984539	2021.93	2021.94	swan/Romania/16905_22VIR2749-1/2021	gE
